time	message
2025.01.23 00:00:00	Compound governor tester state reset
2025.01.23 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.01.23 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.01.23 00:00:00	Monthly risk baseline reset month=202501 equity=50000.00
2025.01.23 00:05:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=19.41 minAdx=18.00 adxOk=yes diGap=4.73 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.45 atrRatio=1.19 atrOk=yes zone=yes hourOk=no
2025.01.23 00:06:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=17.88 minAdx=18.00 adxOk=no diGap=2.43 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.43 atrRatio=1.14 atrOk=yes zone=yes hourOk=no
2025.01.23 00:07:00	M1 micro scalp blocked dir=1 hour=0 spread=0.15 adx=20.23 minAdx=18.00 adxOk=yes diGap=13.54 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.41 atrRatio=1.09 atrOk=yes zone=yes hourOk=no
2025.01.23 00:08:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=17.69 minAdx=18.00 adxOk=no diGap=0.53 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.41 atrRatio=1.09 atrOk=yes zone=yes hourOk=no
2025.01.23 00:09:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=17.55 minAdx=18.00 adxOk=no diGap=7.54 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.40 atrRatio=1.08 atrOk=yes zone=yes hourOk=no
2025.01.23 00:10:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=19.07 minAdx=18.00 adxOk=yes diGap=13.38 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.39 atrRatio=1.03 atrOk=yes zone=yes hourOk=no
2025.01.23 00:11:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=19.17 minAdx=18.00 adxOk=yes diGap=8.55 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.38 atrRatio=1.02 atrOk=yes zone=yes hourOk=no
2025.01.23 00:12:00	M1 micro scalp blocked dir=1 hour=0 spread=0.18 adx=20.25 minAdx=18.00 adxOk=yes diGap=11.22 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.37 atrRatio=1.00 atrOk=yes zone=yes hourOk=no
2025.01.23 00:13:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=21.27 minAdx=18.00 adxOk=yes diGap=10.02 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.34 atrRatio=0.92 atrOk=yes zone=yes hourOk=no
2025.01.23 00:14:00	M1 micro scalp blocked dir=1 hour=0 spread=0.14 adx=18.87 minAdx=18.00 adxOk=yes diGap=1.27 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=0.37 atrRatio=0.97 atrOk=yes zone=yes hourOk=no
2025.01.23 00:16:00	M1 micro scalp blocked dir=-1 hour=0 spread=0.14 adx=17.23 minAdx=18.00 adxOk=no diGap=7.51 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no m5=no m5Long=no m5Short=no atr=0.36 atrRatio=0.96 atrOk=yes zone=yes hourOk=no
2025.01.23 00:17:00	M1 micro scalp blocked reason=no_setup hour=0 close=2756.23 ema21=2756.50 vwap=2756.58 low=2755.93 high=2756.32 spread=0.19 longPullback=no shortPullback=no
2025.01.23 00:18:00	M1 micro scalp blocked reason=no_setup hour=0 close=2755.61 ema21=2756.42 vwap=2756.53 low=2755.43 high=2756.24 spread=0.19 longPullback=no shortPullback=no
2025.01.23 00:19:00	M1 micro scalp blocked reason=no_setup hour=0 close=2755.24 ema21=2756.31 vwap=2756.44 low=2755.22 high=2755.61 spread=0.19 longPullback=no shortPullback=no
2025.01.23 00:20:00	M1 micro scalp blocked spread=0.28 max=0.25 prop=no
2025.01.23 00:21:00	M1 micro scalp blocked reason=no_setup hour=0 close=2755.54 ema21=2756.18 vwap=2756.33 low=2755.43 high=2755.56 spread=0.14 longPullback=no shortPullback=no
2025.01.23 00:22:00	M1 micro scalp blocked reason=no_setup hour=0 close=2755.71 ema21=2756.13 vwap=2756.30 low=2755.26 high=2755.72 spread=0.15 longPullback=no shortPullback=no
2025.01.23 00:23:00	M1 micro scalp blocked reason=no_setup hour=0 close=2755.71 ema21=2756.09 vwap=2756.27 low=2755.25 high=2755.71 spread=0.14 longPullback=no shortPullback=no
2025.01.23 00:24:00	M1 micro scalp blocked reason=no_setup hour=0 close=2755.85 ema21=2756.07 vwap=2756.26 low=2755.68 high=2755.91 spread=0.14 longPullback=no shortPullback=no
2025.01.23 00:25:00	M5 scalp blocked volatilityRegime hour=0 atr=0.85 avgAtr=1.62 atrRatio=0.52 min=0.70 max=1.80
2025.01.23 00:25:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=no
