time	message
2026.01.09 00:00:00	Compound governor tester state reset
2026.01.09 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2026.01.09 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2026.01.09 01:00:01	Monthly risk baseline reset month=202601 equity=50000.00
2026.01.09 01:03:01	M1 micro scalp blocked spread=1.40 max=0.25 prop=no
2026.01.09 01:05:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.15 adx=31.73 minAdx=18.00 adxOk=yes diGap=3.30 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=1.83 atrRatio=1.16 atrOk=yes zone=yes hourOk=no
2026.01.09 01:06:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=30.07 minAdx=18.00 adxOk=yes diGap=10.58 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=1.90 atrRatio=1.19 atrOk=yes zone=yes hourOk=no
2026.01.09 01:07:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=27.76 minAdx=18.00 adxOk=yes diGap=6.40 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=1.98 atrRatio=1.24 atrOk=yes zone=yes hourOk=no
2026.01.09 01:08:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=24.47 minAdx=18.00 adxOk=yes diGap=1.47 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=2.06 atrRatio=1.28 atrOk=yes zone=yes hourOk=no
2026.01.09 01:09:00	M1 micro scalp blocked reason=no_setup hour=1 close=4478.88 ema21=4477.61 vwap=4479.28 low=4476.98 high=4479.47 spread=0.14 longPullback=no shortPullback=no
2026.01.09 01:10:00	M1 micro scalp blocked reason=no_setup hour=1 close=4478.26 ema21=4477.67 vwap=4479.22 low=4477.73 high=4480.14 spread=0.14 longPullback=no shortPullback=no
2026.01.09 01:11:00	M1 micro scalp blocked reason=no_setup hour=1 close=4478.52 ema21=4477.74 vwap=4479.17 low=4477.84 high=4478.86 spread=0.14 longPullback=no shortPullback=no
2026.01.09 01:12:02	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=18.84 minAdx=18.00 adxOk=yes diGap=3.60 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=2.40 atrRatio=1.47 atrOk=yes zone=yes hourOk=no
2026.01.09 01:13:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=17.50 minAdx=18.00 adxOk=no diGap=3.12 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=2.43 atrRatio=1.49 atrOk=yes zone=yes hourOk=no
2026.01.09 01:14:00	M1 micro scalp blocked reason=no_setup hour=1 close=4476.06 ema21=4477.36 vwap=4478.65 low=4475.24 high=4476.50 spread=0.14 longPullback=no shortPullback=no
2026.01.09 01:16:00	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=14.75 minAdx=18.00 adxOk=no diGap=1.62 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=2.14 atrRatio=1.30 atrOk=yes zone=yes hourOk=no
2026.01.09 01:17:03	M1 micro scalp blocked dir=-1 hour=1 spread=0.14 adx=14.74 minAdx=18.00 adxOk=no diGap=6.05 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no m5=no m5Long=no m5Short=no atr=1.91 atrRatio=1.15 atrOk=yes zone=yes hourOk=no
