time	message
2025.09.06 00:00:00	Compound governor tester state reset
2025.09.06 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=0.500 phaseTargetPct=5.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.09.06 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.09.08 01:01:00	Monthly risk baseline reset month=202509 equity=50000.00
2025.09.08 01:25:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.13 adx=27.69 minAdx=18.00 adxOk=yes diGap=6.20 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no atr=3.29 atrRatio=0.91 atrOk=yes zone=yes hourOk=no
2025.09.08 01:35:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.12 adx=23.41 minAdx=18.00 adxOk=yes diGap=2.71 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no atr=3.32 atrRatio=0.94 atrOk=yes zone=yes hourOk=no
2025.09.08 01:40:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=1 spread=0.13 adx=25.72 minAdx=18.00 adxOk=yes diGap=13.75 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no atr=3.41 atrRatio=0.97 atrOk=yes zone=yes hourOk=no
2025.09.08 01:50:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.12 adx=25.85 minAdx=18.00 adxOk=yes diGap=7.42 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no atr=3.52 atrRatio=1.02 atrOk=yes zone=yes hourOk=no
2025.09.08 01:55:00	M5 scalp blocked reason=no_setup hour=1 close=3592.22 ema21=3592.20 vwap=3592.39 low=3590.91 high=3593.90 spread=0.12 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.09.08 02:05:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.17 adx=20.47 minAdx=18.00 adxOk=yes diGap=2.42 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no atr=3.76 atrRatio=1.13 atrOk=yes zone=yes hourOk=no
2025.09.08 02:10:00	M5 scalp blocked reason=no_setup hour=2 close=3592.14 ema21=3592.09 vwap=3592.33 low=3590.76 high=3593.66 spread=0.12 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.09.08 02:20:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.15 adx=20.06 minAdx=18.00 adxOk=yes diGap=5.84 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no atr=3.24 atrRatio=0.99 atrOk=yes zone=yes hourOk=no
2025.09.08 02:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.16 adx=19.41 minAdx=18.00 adxOk=yes diGap=3.46 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=2.99 atrRatio=0.92 atrOk=yes zone=yes hourOk=no
2025.09.08 02:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.15 adx=21.34 minAdx=18.00 adxOk=yes diGap=4.26 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no atr=2.66 atrRatio=0.84 atrOk=yes zone=yes hourOk=no
2025.09.08 02:40:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=2 spread=0.15 adx=19.67 minAdx=18.00 adxOk=yes diGap=2.58 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=2.57 atrRatio=0.84 atrOk=yes zone=yes hourOk=no
2025.09.08 02:50:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.18 adx=16.77 minAdx=18.00 adxOk=no diGap=1.86 minDiGap=4.00 diOk=no h1=yes m15=yes m15Long=yes m15Short=no atr=2.53 atrRatio=0.86 atrOk=yes zone=yes hourOk=no
2025.09.08 02:55:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.17 adx=19.52 minAdx=18.00 adxOk=yes diGap=12.29 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no atr=2.48 atrRatio=0.86 atrOk=yes zone=yes hourOk=no
2025.09.08 03:05:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.14 adx=19.13 minAdx=18.00 adxOk=yes diGap=7.21 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no atr=2.56 atrRatio=0.89 atrOk=yes zone=yes hourOk=no
2025.09.08 03:10:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.14 adx=19.46 minAdx=18.00 adxOk=yes diGap=8.10 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=yes m15Short=no atr=2.73 atrRatio=0.96 atrOk=yes zone=yes hourOk=no
2025.09.08 03:20:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.14 adx=18.74 minAdx=18.00 adxOk=yes diGap=2.78 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=2.71 atrRatio=0.98 atrOk=yes zone=yes hourOk=no
2025.09.08 03:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.16 adx=16.85 minAdx=18.00 adxOk=no diGap=1.42 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=2.66 atrRatio=0.96 atrOk=yes zone=yes hourOk=no
2025.09.08 03:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.13 adx=16.98 minAdx=18.00 adxOk=no diGap=9.77 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no atr=2.66 atrRatio=0.98 atrOk=yes zone=yes hourOk=no
2025.09.08 03:40:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.16 adx=17.92 minAdx=18.00 adxOk=no diGap=8.26 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no atr=2.65 atrRatio=0.98 atrOk=yes zone=yes hourOk=no
2025.09.08 03:50:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=3 spread=0.17 adx=16.77 minAdx=18.00 adxOk=no diGap=6.71 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no atr=2.67 atrRatio=0.99 atrOk=yes zone=yes hourOk=no
2025.09.08 03:55:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=3 spread=0.14 adx=14.63 minAdx=18.00 adxOk=no diGap=0.28 minDiGap=4.00 diOk=no h1=yes m15=no m15Long=no m15Short=no atr=2.87 atrRatio=1.06 atrOk=yes zone=yes hourOk=no
2025.09.08 04:05:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=4 spread=0.13 adx=18.02 minAdx=18.00 adxOk=yes diGap=13.79 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no atr=3.12 atrRatio=1.14 atrOk=yes zone=yes hourOk=no
2025.09.08 04:10:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.19 adx=17.46 minAdx=18.00 adxOk=no diGap=5.75 minDiGap=4.00 diOk=no h1=no m15=no m15Long=yes m15Short=no atr=3.49 atrRatio=1.25 atrOk=yes zone=yes hourOk=no
2025.09.08 04:20:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.13 adx=13.91 minAdx=18.00 adxOk=no diGap=1.63 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=3.69 atrRatio=1.31 atrOk=yes zone=yes hourOk=no
2025.09.08 04:25:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.14 adx=12.95 minAdx=18.00 adxOk=no diGap=2.22 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=3.78 atrRatio=1.34 atrOk=yes zone=yes hourOk=no
2025.09.08 04:35:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.13 adx=11.05 minAdx=18.00 adxOk=no diGap=1.07 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=3.99 atrRatio=1.39 atrOk=yes zone=yes hourOk=no
2025.09.08 04:40:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.21 adx=10.06 minAdx=18.00 adxOk=no diGap=0.93 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=4.08 atrRatio=1.42 atrOk=yes zone=yes hourOk=no
2025.09.08 04:50:00	M5 scalp blocked dir=-1 setupVariant=classic_pullback hour=4 spread=0.18 adx=8.22 minAdx=18.00 adxOk=no diGap=0.52 minDiGap=4.00 diOk=no h1=no m15=no m15Long=no m15Short=no atr=4.05 atrRatio=1.42 atrOk=yes zone=yes hourOk=no
2025.09.08 04:55:00	M5 scalp blocked reason=no_setup hour=4 close=3589.04 ema21=3588.97 vwap=3590.38 low=3586.66 high=3589.61 spread=0.13 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2025.09.08 05:05:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=5 spread=0.14 adx=20.74 minAdx=18.00 adxOk=yes diGap=17.17 minDiGap=4.00 diOk=yes h1=yes m15=no m15Long=no m15Short=no atr=4.26 atrRatio=1.48 atrOk=yes zone=yes hourOk=no
2025.09.08 05:10:00	M5 scalp blocked reason=no_setup hour=5 close=3590.25 ema21=3589.32 vwap=3590.41 low=3589.78 high=3593.73 spread=0.19 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
