time	message
2026.01.01 00:00:00	Compound governor tester state reset
2026.01.01 00:00:00	Prop mode enabled monitorOnly=yes challengeRiskPct=1.000 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2026.01.01 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2026.01.02 01:00:00	Monthly risk baseline reset month=202601 equity=50000.00
2026.01.02 01:05:00	M5 scalp blocked spread=2.04 max=0.50 prop=no
2026.01.02 01:25:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.14 adx=44.27 minAdx=18.00 adxOk=yes diGap=29.05 minDiGap=4.00 diOk=yes h1=no m15=no m15Long=no m15Short=no atr=5.03 atrRatio=0.92 atrOk=yes zone=yes hourOk=no
2026.01.02 01:35:01	M5 scalp blocked spread=2.03 max=0.50 prop=no
2026.01.02 01:40:00	M5 scalp blocked spread=0.80 max=0.50 prop=no
2026.01.02 01:50:01	M5 scalp blocked reason=no_setup hour=1 close=4343.04 ema21=4329.55 vwap=4337.08 low=4342.19 high=4345.99 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 01:55:00	M5 scalp blocked reason=no_setup hour=1 close=4347.46 ema21=4331.17 vwap=4337.91 low=4341.75 high=4347.55 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:05:00	M5 scalp blocked reason=no_setup hour=2 close=4346.49 ema21=4333.98 vwap=4339.86 low=4345.20 high=4349.07 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:10:00	M5 scalp blocked reason=no_setup hour=2 close=4350.07 ema21=4335.44 vwap=4340.60 low=4344.51 high=4350.48 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:20:00	M5 scalp blocked reason=no_setup hour=2 close=4344.72 ema21=4337.32 vwap=4341.61 low=4344.65 high=4349.35 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:25:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=2 spread=0.14 adx=58.68 minAdx=18.00 adxOk=yes diGap=8.78 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=5.06 atrRatio=1.01 atrOk=yes zone=yes hourOk=no
2026.01.02 02:35:00	M5 scalp blocked reason=no_setup hour=2 close=4348.45 ema21=4339.63 vwap=4342.55 low=4346.88 high=4349.25 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:40:00	M5 scalp blocked reason=no_setup hour=2 close=4348.66 ema21=4340.45 vwap=4343.00 low=4347.58 high=4350.88 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:50:00	M5 scalp blocked reason=no_setup hour=2 close=4351.96 ema21=4342.26 vwap=4343.88 low=4349.70 high=4353.53 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 02:55:00	M5 scalp blocked reason=no_setup hour=2 close=4352.43 ema21=4343.18 vwap=4344.28 low=4350.78 high=4353.21 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 03:05:00	M5 scalp blocked reason=no_setup hour=3 close=4347.98 ema21=4344.53 vwap=4345.05 low=4347.31 high=4356.21 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
2026.01.02 03:10:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=3 spread=0.14 adx=41.29 minAdx=18.00 adxOk=yes diGap=6.89 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.77 atrRatio=0.98 atrOk=yes zone=yes hourOk=no
2026.01.02 03:20:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=3 spread=0.14 adx=35.00 minAdx=18.00 adxOk=yes diGap=4.42 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.75 atrRatio=0.99 atrOk=yes zone=yes hourOk=no
2026.01.02 03:25:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=3 spread=0.14 adx=32.11 minAdx=18.00 adxOk=yes diGap=4.18 minDiGap=4.00 diOk=yes h1=no m15=yes m15Long=yes m15Short=no atr=4.58 atrRatio=0.96 atrOk=yes zone=yes hourOk=no
2026.01.02 03:35:00	M5 scalp blocked reason=no_setup hour=3 close=4349.80 ema21=4346.08 vwap=4345.86 low=4348.90 high=4351.51 spread=0.14 classicLong=no classicShort=no sweepLong=no sweepShort=no breakoutLong=no breakoutShort=no
